wavelength,power,intensity
333.038,-0.4,-2.65E-43
333.249,-0.04,-2.65E-44
333.46,-0.35,-2.32E-43
333.671,-0.14,-9.29E-44
333.882,-0.13,-8.63E-44
334.094,-0.02,-1.33E-44
334.305,-0.09,-5.98E-44
334.516,-0.17,-1.13E-43
334.727,0.2,1.33E-43
334.938,0.13,8.66E-44
335.149,0.1,6.66E-44
335.36,-0.09,-6.00E-44
335.571,0.15,1.00E-43
335.782,-0.08,-5.34E-44
335.994,-0.14,-9.35E-44
336.205,0.03,2.01E-44
336.416,-0.05,-3.34E-44
336.627,0.14,9.37E-44
336.838,-0.18,-1.21E-43
337.049,-0.2,-1.34E-43
337.26,0.01,6.70E-45
337.471,0.12,8.05E-44
337.682,0.04,2.69E-44
337.893,-0.26,-1.75E-43
338.103,-0.31,-2.08E-43
338.314,0.02,1.35E-44
338.525,-0.25,-1.68E-43
338.736,-0.03,-2.02E-44
338.947,-0.25,-1.68E-43
339.158,-0.25,-1.69E-43
339.369,-0.63,-4.25E-43
339.58,-0.01,-6.75E-45
339.79,-0.25,-1.69E-43
340.001,-0.74,-5.00E-43
340.212,-0.14,-9.47E-44
340.423,0.23,1.56E-43
340.634,-0.1,-6.77E-44
340.844,-0.2,-1.36E-43
341.055,-0.13,-8.81E-44
341.266,-0.08,-5.43E-44
341.477,-0.07,-4.75E-44
341.687,-0.06,-4.08E-44
341.898,0.15,1.02E-43
342.109,-0.27,-1.84E-43
342.319,0.02,1.36E-44
342.53,-0.22,-1.50E-43
342.741,-0.08,-5.45E-44
342.951,-0.08,-5.45E-44
343.162,-0.34,-2.32E-43
343.372,-0.24,-1.64E-43
343.583,0.4,2.73E-43
343.794,-0.26,-1.78E-43
344.004,0.03,2.05E-44
344.215,-0.29,-1.98E-43
344.425,-0.21,-1.44E-43
344.636,-0.29,-1.99E-43
344.846,-0.26,-1.78E-43
345.057,-0.03,-2.06E-44
345.267,-0.08,-5.49E-44
345.478,-0.26,-1.79E-43
345.688,-0.22,-1.51E-43
345.899,-0.04,-2.75E-44
346.109,-0.09,-6.19E-44
346.319,-0.17,-1.17E-43
346.53,0.31,2.14E-43
346.74,0.04,2.76E-44
346.951,0.05,3.45E-44
347.161,-0.14,-9.66E-44
347.371,-0.3,-2.07E-43
347.582,-0.27,-1.87E-43
347.792,0.24,1.66E-43
348.002,-0.31,-2.14E-43
348.213,-0.28,-1.94E-43
348.423,-0.11,-7.62E-44
348.633,-0.1,-6.93E-44
348.843,-0.01,-6.94E-45
349.054,0.03,2.08E-44
349.264,0.13,9.03E-44
349.474,0.27,1.88E-43
349.684,-0.12,-8.34E-44
349.894,-0.19,-1.32E-43
350.105,0.29,2.02E-43
350.315,-0.24,-1.67E-43
350.525,0.03,2.09E-44
350.735,-0.23,-1.60E-43
350.945,0.02,1.40E-44
351.155,-0.28,-1.95E-43
351.365,-0.05,-3.49E-44
351.575,-0.22,-1.54E-43
351.786,-0.36,-2.52E-43
351.996,-0.03,-2.10E-44
352.206,-0.39,-2.73E-43
352.416,-0.1,-7.01E-44
352.626,0.17,1.19E-43
352.836,0.09,6.31E-44
353.046,0.17,1.19E-43
353.256,-0.35,-2.46E-43
353.466,-0.11,-7.73E-44
353.676,-0.06,-4.22E-44
353.885,-0.13,-9.15E-44
354.095,-0.3,-2.11E-43
354.305,0.13,9.16E-44
354.515,0.03,2.11E-44
354.725,0.05,3.53E-44
354.935,0.19,1.34E-43
355.145,0,0
355.355,-0.05,-3.53E-44
355.565,-0.32,-2.26E-43
355.774,-0.16,-1.13E-43
355.984,-0.05,-3.54E-44
356.194,-0.01,-7.08E-45
356.404,-0.16,-1.13E-43
356.613,0.1,7.09E-44
356.823,-0.14,-9.93E-44
357.033,-0.45,-3.19E-43
357.243,-0.18,-1.28E-43
357.452,-0.18,-1.28E-43
357.662,-0.14,-9.95E-44
357.872,-0.12,-8.54E-44
358.081,-0.06,-4.27E-44
358.291,-0.23,-1.64E-43
358.501,0.07,4.99E-44
358.71,-0.09,-6.42E-44
358.92,-0.31,-2.21E-43
359.13,0.04,2.86E-44
359.339,0.22,1.57E-43
359.549,-0.32,-2.29E-43
359.758,-0.05,-3.58E-44
359.968,0.21,1.50E-43
360.177,0.27,1.93E-43
360.387,-0.29,-2.08E-43
360.596,-0.21,-1.51E-43
360.806,0.01,7.17E-45
361.015,0.03,2.15E-44
361.225,-0.06,-4.31E-44
361.434,-0.34,-2.44E-43
361.644,-0.12,-8.63E-44
361.853,-0.1,-7.19E-44
362.063,0.15,1.08E-43
362.272,-0.2,-1.44E-43
362.481,0.13,9.37E-44
362.691,-0.02,-1.44E-44
362.9,0.13,9.38E-44
363.109,0.03,2.17E-44
363.319,-0.13,-9.39E-44
363.528,-0.27,-1.95E-43
363.737,-0.32,-2.31E-43
363.947,-0.43,-3.11E-43
364.156,-0.27,-1.95E-43
364.365,-0.15,-1.09E-43
364.574,0.21,1.52E-43
364.784,-0.24,-1.74E-43
364.993,-0.09,-6.53E-44
365.202,-0.19,-1.38E-43
365.411,0.02,1.45E-44
365.621,0.01,7.27E-45
365.83,-0.16,-1.16E-43
366.039,-0.14,-1.02E-43
366.248,-0.11,-8.01E-44
366.457,-0.19,-1.38E-43
366.666,0.13,9.48E-44
366.875,-0.25,-1.82E-43
367.084,-0.28,-2.04E-43
367.294,0.07,5.11E-44
367.503,0.07,5.11E-44
367.712,0.03,2.19E-44
367.921,-0.38,-2.78E-43
368.13,-0.07,-5.12E-44
368.339,-0.01,-7.32E-45
368.548,-0.18,-1.32E-43
368.757,-0.25,-1.83E-43
368.966,-0.17,-1.25E-43
369.175,0.05,3.67E-44
369.384,0.02,1.47E-44
369.593,-0.15,-1.10E-43
369.801,-0.34,-2.50E-43
370.01,0.01,7.36E-45
370.219,-0.14,-1.03E-43
370.428,-0.22,-1.62E-43
370.637,0.02,1.47E-44
370.846,-0.08,-5.90E-44
371.055,0.14,1.03E-43
371.263,-0.01,-7.38E-45
371.472,-0.07,-5.17E-44
371.681,-0.17,-1.26E-43
371.89,0.06,4.44E-44
372.099,0.22,1.63E-43
372.307,-0.15,-1.11E-43
