wlen,transmission
392.61664,0.390657122
392.81081,0.390754756
393.00498,0.39085216
393.19915,0.390949048
393.39332,0.391043153
393.58749,0.391131887
393.78166,0.391214535
393.97583,0.391294121
394.17,0.391378147
394.36417,0.391477704
394.55834,0.391605809
394.75251,0.391774937
394.94668,0.391994148
395.14085,0.392266554
395.33502,0.3925879
395.52919,0.392947473
395.72336,0.393330628
395.91753,0.393721903
396.1117,0.394108072
396.30587,0.39448049
396.50004,0.394836405
396.69421,0.395178653
396.88838,0.395513787
397.08255,0.395849441
397.27672,0.396191771
397.47089,0.396543626
397.66506,0.396903652
397.85923,0.397266569
398.0534,0.397624524
398.24757,0.39796926
398.44174,0.398294314
398.63591,0.398596201
398.83008,0.398874793
399.02425,0.399132991
399.21842,0.399375996
399.41259,0.399610217
399.60676,0.39984149
399.80093,0.400073777
399.9951,0.400308671
400.18927,0.400545788
400.38344,0.400783811
400.57761,0.401021004
400.77178,0.401255804
400.96595,0.401487468
401.16012,0.401716636
401.35429,0.4019457
401.54846,0.40217787
401.74263,0.402415829
401.9368,0.402660616
402.13097,0.402910948
402.32514,0.403163264
402.51931,0.40341158
402.71348,0.403647618
402.90765,0.403861806
403.10182,0.404044967
403.29599,0.404190523
403.49016,0.404295809
403.68433,0.404362332
403.8785,0.404395633
404.07267,0.404404557
404.26684,0.40439999
404.46101,0.404392551
404.65518,0.404389837
404.84935,0.404394964
405.04352,0.404406519
405.23769,0.404419949
405.43186,0.404429579
405.62603,0.404430393
405.8202,0.404420158
406.01437,0.404401115
406.20854,0.404380648
406.40271,0.404370405
406.59688,0.404383641
406.79105,0.404432292
406.98522,0.404524357
407.17939,0.404662121
407.37356,0.404841637
407.56773,0.40505356
407.7619,0.405285154
407.95607,0.405522882
408.15024,0.40575502
408.34441,0.405973711
408.53858,0.406176285
408.73275,0.406365217
408.92692,0.406546753
409.12109,0.406728609
409.31526,0.406917276
409.50943,0.407116251
409.7036,0.407325403
409.89777,0.407541222
410.09194,0.40775801
410.28611,0.407969685
410.48028,0.408172341
410.67445,0.408366797
410.86862,0.40855973
411.06279,0.40876302
411.25696,0.408991131
411.45113,0.409257462
411.6453,0.409570729
411.83947,0.409931609
412.03364,0.410330668
412.22781,0.410748457
412.42198,0.411158382
412.61615,0.411531907
412.81032,0.411844139
413.00449,0.412078645
413.19866,0.41223037
413.39283,0.412305804
413.587,0.412320399
413.78117,0.412293923
413.97534,0.41224524
414.16951,0.412187898
414.36368,0.412127628
414.55785,0.41206299
414.75202,0.411988715
414.94619,0.411900325
415.14036,0.411798323
415.33453,0.411690262
415.5287,0.411590975
415.72287,0.411520721
415.91704,0.411501296
416.11121,0.411551207
416.30538,0.411681077
416.49955,0.41189207
416.69372,0.412177538
416.88789,0.41252599
417.08206,0.412924338
417.27623,0.413360224
417.4704,0.413823804
417.66457,0.414308512
417.85874,0.414809593
418.05291,0.415321548
418.24708,0.415835713
418.44125,0.416339655
418.63542,0.416818887
418.82959,0.417259305
419.02376,0.417649891
419.21793,0.417984828
419.4121,0.418264554
419.60627,0.418495751
419.80044,0.418689581
419.99461,0.418858889
420.18878,0.41901519
420.38295,0.419166311
420.57712,0.41931625
420.77129,0.41946624
420.96546,0.419616259
421.15963,0.419766173
421.3538,0.419915933
421.54797,0.420066087
421.74214,0.420217759
421.93631,0.420371887
422.13048,0.420528258
422.32465,0.42068465
422.51882,0.420837997
422.71299,0.420986693
422.90716,0.421132447
423.10133,0.421281062
423.2955,0.421441337
423.48967,0.421623739
423.68384,0.421839029
423.87801,0.422095867
424.07218,0.422398263
424.26635,0.422743463
424.46052,0.423122188
424.65469,0.423521596
424.84886,0.423928559
425.04303,0.42433253
425.2372,0.424727121
425.43137,0.425110549
425.62554,0.425485405
425.81971,0.425856865
426.01388,0.426230166
426.20805,0.426608278
426.40222,0.42699075
426.59639,0.427374669
426.79056,0.427756527
426.98473,0.428134261
427.1789,0.428508654
427.37307,0.428883577
427.56724,0.429265537
427.76141,0.429662018
427.95558,0.43007912
428.14975,0.430519373
428.34392,0.430980537
428.53809,0.43145663
428.73226,0.43194012
428.92643,0.432424189
429.1206,0.432904409
429.31477,0.433379222
429.50894,0.433849728
429.70311,0.434318384
429.89728,0.434786696
430.09145,0.435252976
430.28562,0.435711105
430.47979,0.436151122
430.67396,0.436561414
430.86813,0.436931719
431.0623,0.437256147
431.25647,0.4375353
431.45064,0.437776552
431.64481,0.437992268
431.83898,0.438196798
432.03315,0.438403133
432.22732,0.438620146
432.42149,0.438851051
432.61566,0.4390934
432.80983,0.439340959
433.004,0.439586665
433.19817,0.439825664
433.39234,0.44005738
433.58651,0.440285667
433.78068,0.440517734
433.97485,0.440762325
434.16902,0.441027767
434.36319,0.44132048
434.55736,0.441643884
434.75153,0.441998377
434.9457,0.442382167
435.13987,0.442792384
435.33404,0.443226056
435.52821,0.44367999
435.72238,0.444149956
435.91655,0.444629985
436.11072,0.44511237
436.30489,0.445589006
436.49906,0.446053051
436.69323,0.446500497
436.8874,0.446931755
437.08157,0.447352483
